name;description;sample;bios;selection;fbneo
anteater;Anteater;;;classics;anteater
bouldash;Boulder Dash / Boulder Dash Part 2 (World);;;classics;bouldash
bubbles;Bubbles;;;classics;bubbles
cbtime;Burger Time;;decocass;classics;cbtime
digdug;Dig Dug;;;classics;digdug
digdug2;Dig Dug II;;;classics;digdug2
dommy;Dommy;;;classics;dommy
dlair;Dragon's Lair;;;classics;#N/A
dynablst;Dynablaster / Bomber Man;;;classics;dynablst
eyes;Eyes;;;classics;eyes
foodf;Food Fight (rev 3);;;classics;foodf
frogger;Frogger;;;classics;frogger
gnbarich;Gunbarich;;;classics;gnbarich
heiankyo;Heiankyo Alien;;;classics;heiankyo
indytemp;Indiana Jones and the Temple of Doom;;atarisy1;classics;#N/A
journey;Journey;journey;;classics;journey
jrpacman;Jr. Pac-Man;;;classics;jrpacman
jumpbug;Jump Bug;;;classics;jumpbug
ladybug;Lady Bug;;;classics;ladybug
lightbr;Light Bringer;;;classics;lightbr
llander;Lunar Lander;;;classics;llander
mhavoc;Major Havoc;;;classics;mhavoc
missile;Missile Command;;;classics;missile
mtrap;Mouse Trap;;;classics;#N/A
mrdo;Mr. Do!;;;classics;mrdo
mspacman;Ms. Pac-Man;;;classics;mspacman
ncv1;Namco Classic Collection Vol.1;;;classics;#N/A
ncv2;Namco Classic Collection Vol.2;;;classics;#N/A
neobombe;Neo Bomberman;;neogeo;classics;neobombe
neomrdo;Neo Mr. Do!;;neogeo;classics;neomrdo
nibbler;Nibbler;;;classics;nibbler
pacmania;Pac-Mania;;;classics;pacmania
paperboy;Paperboy;;;classics;#N/A
pengo;Pengo;;;classics;pengo
pepper2;Pepper II;;;classics;#N/A
puckman;Puck Man;;;classics;puckman
rallyx;Rally X;rallyx;;classics;rallyx
rampart;Rampart;;;classics;rampart
scregg;Scrambled Egg;;;classics;scregg
todruaga;The Tower of Druaga (New Ver.);;;classics;todruaga
tutankhm;Tutankham;;;classics;tutankhm
wow;Wizard of Wor;;;classics;#N/A
yiear;Yie Ar Kung-Fu (program code I);;;classics;yiear
