name;description;sample;bios;selection;fbneo
aquarush;Aqua Rush;;;puzzle;#N/A
bakubaku;Baku Baku Animal;;stvbios;puzzle;#N/A
bangball;Bang Bang Ball;;;puzzle;bangball
blockhl;Block Hole;;;puzzle;blockhl
blockout;Block Out;;;puzzle;blockout
cshift;Chicken Shift;;;puzzle;#N/A
columns;Columns;;;puzzle;columns
columns2;Columns II: The Voyage Through Time;;;puzzle;columns2
crospang;Cross Pang;;;puzzle;crospang
deroon;Deroon DeroDero;;;puzzle;deroon
dharma;Dharma Doujou;;;puzzle;dharma
emeralda;Emeraldia;;;puzzle;emeralda
ghostlop;Ghostlop;;neogeo;puzzle;ghostlop
htchctch;Hatch Catch;;;puzzle;htchctch
klax;Klax;;;puzzle;klax
landmakr;Land Maker;;;puzzle;landmakr
locomotn;Loco-Motion;;;puzzle;locomotn
magdrop3;Magical Drop III;;neogeo;puzzle;magdrop3
magerror;Magical Error wo Sagase;;;puzzle;magerror
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;;neogeo;puzzle;miexchng
mosaicf2;Mosaic;;;puzzle;mosaicf2
motos;Motos;;;puzzle;motos
msgogo;Mouse Shooter GoGo;;;puzzle;msgogo
mrdrillr;Mr. Driller;;;puzzle;#N/A
ohmygod;Oh My God!;;;puzzle;ohmygod
plotting;Plotting;;;puzzle;plotting
pururun;Pururun;;;puzzle;pururun
puyofev;Puyo Pop Fever;;naomigd;puzzle;#N/A
puyopuy2;Puyo Puyo 2;;;puzzle;puyopuy2
puzzloop;Puzz Loop;;skns;puzzle;puzzloop
pzloop2;Puzz Loop 2;;;puzzle;pzloop2
ichir;Puzzle & Action: Ichidant-R (World);;;puzzle;ichir
pbobble2;Puzzle Bobble 2;;;puzzle;pbobble2
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again;;neogeo;puzzle;pbobbl2n
pbobble4;Puzzle Bobble 4;;;puzzle;pbobble4
puzzledp;Puzzle De Pon!;;neogeo;puzzle;puzzledp
uopoko;Puzzle Uo Poko;;;puzzle;uopoko
mushitam;Puzzle! Mushihime-Tama;;;puzzle;mushitam
joyjoy;Puzzled / Joy Joy Kid;;neogeo;puzzle;joyjoy
puzzli2;Puzzli 2 / Pao Pao Yu;;pgm;puzzle;puzzli2
qix;Qix;;;puzzle;qix
riskchal;Risky Challenge;;;puzzle;riskchal
senkyu;Senkyu;;;puzzle;senkyu
suprloco;Super Locomotive;;;puzzle;suprloco
spf2t;Super Puzzle Fighter II Turbo;;;puzzle;spf2t
tokkae;Taisen Tokkae-dama;;konamigx;puzzle;#N/A
atetris;Tetris;;;puzzle;atetris
tetrisp2;Tetris Plus 2;;;puzzle;tetrisp2
tgm2;Tetris: The Absolute - The Grand Master 2;;;puzzle;tgm2
tgmj;Tetris: The Grand Master;;coh3002c;puzzle;#N/A
watrball;Water Balls;;;puzzle;watrball
