name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-;
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-;
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;YES;-;NO;-;-;
arkanoid;Arkanoid (World, oldest rev);1986;Taito Corporation Japan;YES;-;NO;-;-;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;YES;neogeo;NO;-;-;
baddudes;Bad Dudes vs. Dragonninja (US);1988;Data East USA;YES;-;NO;-;-;
bombjack;Bomb Jack (set 1);1984;Tehkan;YES;-;NO;-;-;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);1990;Data East Corporation (licensed from First Star);YES;-;NO;-;-;
bublbobl;Bubble Bobble (Japan, Ver 0.1);1986;Taito Corporation;YES;-;NO;-;-;
btime;Burger Time (Data East set 1);1982;Data East Corporation;YES;-;NO;-;-;
dino;Cadillacs & Dinosaurs (930201 etc);1993;Capcom;YES;-;NO;-;-;
digdug;Dig Dug (rev 2);1982;Namco;YES;-;NO;-;-;
dkong;Donkey Kong (US set 1);1981;Nintendo of America;YES;-;NO;-;-;
dkongjr;Donkey Kong Junior (US set F-2);1982;Nintendo of America;YES;-;NO;-;-;
ddragon;Double Dragon (Japan);1987;Technos;YES;-;NO;-;-;
ffight;Final Fight (World, set 1);1989;Capcom;YES;-;NO;-;-;
frogger;Frogger;1981;Konami;YES;-;NO;-;-;
galaga;Galaga (Namco rev. B);1981;Namco;YES;-;NO;-;-;
gauntlet;Gauntlet (rev 14);1985;Atari Games;YES;-;NO;-;-;
ghouls;Ghouls'n Ghosts (World);1988;Capcom;YES;-;NO;-;-;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);1989;Sega;YES;-;NO;-;-;
ldrun;Lode Runner (set 1);1984;Irem (licensed from Broderbund);YES;-;NO;-;-;
mario;Mario Bros. (US, Revision F) [Imperfect sound];1983;Nintendo of America;YES;-;NO;-;-;
mvsc;Marvel vs Capcom - clash of super heroes (980123 Euro);1998;Capcom;YES;-;NO;-;-;
mslug3;Metal Slug 3 (NGM-2560);2000;SNK;YES;neogeo;NO;-;-;
milliped;Millipede;1982;Atari;YES;-;NO;-;-;
mk3;Mortal Kombat 3 (rev 2.1);1994;Midway;YES;-;NO;-;-;
outrun;Out Run (sitdown/upright, Rev B);1986;Sega;YES;-;NO;-;-;
pacman;Pac-Man (Midway);1980;Namco (Midway license);NO;puckman;YES;puckman;-;
pang;Pang (World);1989;Mitchell;YES;-;NO;-;-;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);1997;Taito Corporation;YES;-;NO;-;-;
qbert;Q*bert (US set 1);1982;Gottlieb;YES;-;NO;-;-;
rtype;R-Type (World);1987;Irem;YES;-;NO;-;-;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);1994;SNK;YES;neogeo;NO;-;-;
sharrier;Space Harrier (Rev A, 8751 315-5163A);1985;Sega;YES;-;NO;-;-;
invaders;Space Invaders / Space Invaders M;1978;Taito / Midway;YES;-;NO;-;-;
sfa2;Street Fighter Alpha 2 (960229 Euro);1996;Capcom;YES;-;NO;-;-;
sf2ce;Street Fighter II' - Champion Edition (street fighter 2' 920513 etc);1992;Capcom;YES;-;NO;-;-;
strider;Strider (US set 1);1989;Capcom;YES;-;NO;-;-;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UAA);1991;Konami;YES;-;NO;-;-;
atetris;Tetris (set 1) [No sound];1988;Atari Games;YES;-;NO;-;-;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420);1998;SNK;YES;neogeo;NO;-;-;
simpsons;The Simpsons (4 Players World, set 1);1991;Konami;YES;-;NO;-;-;
